Rodada,Pos.,Nome,UF
Rodada 7,17,Joao Vitor Giordano,PR
Rodada 7,18,Thomas Marcelo,GO
Rodada 7,19,Rafael Volner,SP
Rodada 7,20,Rafael "Assazrafa" Ireijo,SP
Rodada 7,21,FÃ¡bio de Carvalho Gatti,SP
Rodada 7,22,Bernardo Trotta,RJ
Rodada 7,23,JoÃ£o Vitor Denardi Bosa,SP
Rodada 7,24,Ricardo Bodra GuimarÃ£es,SP
Rodada 7,25,Juan Rodrigo Harbar Penas,PR
Rodada 7,26,AndrÃ© Luiz Baldo,SC
Rodada 7,27,Marcio Fortuna,RJ
Rodada 7,28,Priscila Cachucho,SP
Rodada 7,29,Vitor Zago,RJ
Rodada 7,30,Felipe Rocha Carvalho,BA
Rodada 7,31,Wanderlei HÃ¼ttel,SC
Rodada 7,32,GABRIEL OLIVEIRA CAVALCANTE,GO
Rodada 7,33,Vinicius dos Santos Costa,MG
Rodada 7,34,Daniel Gatta,SP
Rodada 7,35,OtÃ¡vio Pereira do Nascimento Neto,BA
Rodada 7,36,Miguel Pinto Filho,MG
Rodada 7,37,Vitor Augusto Dib Martinho,GO
Rodada 7,38,Guilherme Vezzoni,SP
Rodada 7,39,Wellington LuÃ­z Pereira,MG
Rodada 7,40,paulo roberto resutta goncalves,SP
Rodada 7,41,Eduardo AbrahÃ£o,MG
Rodada 7,42,Guilherme EuflÃ¡zio,PB
Rodada 7,43,Ricardo Vieira da Silva,SP
Rodada 7,44,Lucas Dourado,SP
Rodada 7,45,Rodrigues Oliveira,SP
Rodada 7,46,Wadson Nilton,MA
Rodada 7,47,Jean Marcos,RJ
Rodada 7,48,Emanuel Augusto Coutinho da Silva,SP
Rodada 7,49,Lucio Henrique Azevedo,RJ
Rodada 7,50,Renata Tramontin,PR
Rodada 7,51,Vanessa Tramontin da Silveira,PR
Rodada 7,52,Gilberto Come,SP
Rodada 7,53,Rodrigo Passos,PR
Rodada 7,54,AndrÃ© Terra Ennes,SP
Rodada 7,55,Diego Andres Harbar Penas,PR
Rodada 7,56,Andrew William de Jesus Yu,ES
Rodada 7,57,Deivid da Costa Souza,SP
Rodada 7,58,AndrÃ© Allen Costa Pacheco,MG
Rodada 7,59,AnÃ´nimo #02251941,SP
Rodada 7,60,Josanias Boshammer de Oliveira,SP
Rodada 7,61,Maryanna Binder,SP
Rodada 7,62,Franciele Bueno,SP
Rodada 7,63,Enzo Balaban Alves Correa,PR
Rodada 7,64,Marcelo Gomes,CE
